title,price,rating,reviews,availabillity
"Apple AirPods (2nd Generation) Wireless Ear Buds, Bluetooth Headphones with Lightning Charging Case Included, Over 24 Hours of Battery Life, Effortless Setup for iPhone",,4.7 out of 5 stars,"614,480 ratings",In Stock
"Apple AirPods Pro (2nd Generation) Wireless Ear Buds with USB-C Charging, Up to 2X More Active Noise Cancelling Bluetooth Headphones, Transparency Mode, Adaptive Audio, Personalized Spatial Audio",,4.7 out of 5 stars,1 rating,In Stock
"Apple AirPods (2nd Generation) Wireless Ear Buds, Bluetooth Headphones with Lightning Charging Case Included, Over 24 Hours of Battery Life, Effortless Setup for iPhone",,4.7 out of 5 stars,"614,480 ratings",In Stock
"Apple AirPods Pro (2nd Generation) Wireless Ear Buds with USB-C Charging, Up to 2X More Active Noise Cancelling Bluetooth Headphones, Transparency Mode, Adaptive Audio, Personalized Spatial Audio",,4.7 out of 5 stars,"17,342 ratings",In Stock
"Apple AirPods Pro (2nd Generation) Wireless Ear Buds with USB-C Charging, Up to 2X More Active Noise Cancelling Bluetooth Headphones, Transparency Mode, Adaptive Audio, Personalized Spatial Audio",,4.7 out of 5 stars,1 rating,In Stock
"Apple AirPods (3rd Generation) Wireless Ear Buds, Bluetooth Headphones, Personalized Spatial Audio, Sweat and Water Resistant, Lightning Charging Case Included, Up to 30 Hours of Battery Life",,4.7 out of 5 stars,,In Stock
"Apple AirPods (3rd Generation) Wireless Ear Buds, Bluetooth Headphones, Personalized Spatial Audio, Sweat and Water Resistant, Lightning Charging Case Included, Up to 30 Hours of Battery Life",,4.7 out of 5 stars,"20,949 ratings",In Stock
"Beats Studio Buds - True Wireless Noise Cancelling Earbuds - Compatible with Apple & Android, Built-in Microphone, IPX4 Rating, Sweat Resistant Earphones, Class 1 Bluetooth Headphones - White",,4.6 out of 5 stars,"87,919 ratings",In Stock
"JBL Vibe Beam True Wireless Headphones - White, Small",,4.4 out of 5 stars,"8,310 ratings",Only 9 left in stock - order soon.
"Apple AirPods Max Wireless Over-Ear Headphones, Active Noise Cancelling, Transparency Mode, Personalized Spatial Audio, Dolby Atmos, Bluetooth Headphones for iPhone – Silver",,4.6 out of 5 stars,"13,324 ratings",In Stock
Apple AirPods with Lightning Charging Case (3rd Generation) (Renewed),,4.2 out of 5 stars,"1,082 ratings",In Stock
Apple AirPods Pro Wireless Earbuds with MagSafe Charging Case (Renewed),,4.2 out of 5 stars,"1,107 ratings",Only 8 left in stock - order soon.
Apple AirPods with Lightning Charging Case (3rd Generation) White (Renewed Premium),,4.2 out of 5 stars,60 ratings,In Stock
"Beats Fit Pro - True Wireless Noise Cancelling Earbuds - Apple H1 Headphone Chip, Compatible with Apple & Android, Class 1 Bluetooth, Built-in Microphone, 6 Hours of Listening Time - Stone Purple",,4.6 out of 5 stars,"37,108 ratings",In Stock
Apple AirPods Pro (1st Generation) with MagSafe Charging Case,,3.9 out of 5 stars,"147,263 ratings",In Stock
"Apple EarPods Headphones with USB-C Plug, Wired Ear Buds with Built-in Remote to Control Music, Phone Calls, and Volume",,4.6 out of 5 stars,"284,516 ratings",In Stock
Apple AirPods (3rd Generation) (Renewed),,4.2 out of 5 stars,"5,464 ratings",In Stock
Apple AirPods Pro (2nd generation) with MagSafe Charging Case (USB-C) (Renewed),,4.5 out of 5 stars,150 ratings,Only 1 left in stock - order soon.
