title,price,rating,reviews,availabillity
"Apple iPad (9th Generation): with A13 Bionic chip, 10.2-inch Retina Display, 64GB, Wi-Fi, 12MP front/8MP Back Camera, Touch ID, All-Day Battery Life – Space Gray",,4.6 out of 5 stars,"63,189 ratings",In Stock
Apple iPad (10th Generation) Wi-Fi 64GB - Pink with AppleCare+ (2 Years),,4.7 out of 5 stars,"12,568 ratings",In Stock
"Apple iPad (9th Generation): with A13 Bionic chip, 10.2-inch Retina Display, 64GB, Wi-Fi, 12MP front/8MP Back Camera, Touch ID, All-Day Battery Life – Silver",,4.6 out of 5 stars,"63,189 ratings",In Stock
"Apple iPad (10th Generation): with A14 Bionic chip, 10.9-inch Liquid Retina Display, 64GB, Wi-Fi 6, 12MP front/12MP Back Camera, Touch ID, All-Day Battery Life – Blue",,4.6 out of 5 stars,"12,568 ratings",In Stock
"Apple iPad (10.2-Inch, Wi-Fi, 128GB) - Space Gray (Renewed)",,4.5 out of 5 stars,"8,675 ratings",In Stock
"Apple iPad (10th Generation): with A14 Bionic chip, 10.9-inch Liquid Retina Display, 64GB, Wi-Fi 6, 12MP front/12MP Back Camera, Touch ID, All-Day Battery Life – Silver",,4.6 out of 5 stars,"12,568 ratings",In Stock
"Apple iPad Air (5th Generation): with M1 chip, 10.9-inch Liquid Retina Display, 64GB, Wi-Fi 6, 12MP front/12MP Back Camera, Touch ID, All-Day Battery Life – Blue",,4.6 out of 5 stars,"12,899 ratings",In Stock
"Apple iPad (9th Generation): with A13 Bionic chip, 10.2-inch Retina Display, 64GB, Wi-Fi + 4G LTE Cellular, 12MP front/8MP Back Camera, Touch ID, All-Day Battery Life – Silver",,4.6 out of 5 stars,"63,189 ratings",In Stock
"Apple iPad Mini (6th Generation): with A15 Bionic chip, 8.3-inch Liquid Retina Display, 64GB, Wi-Fi 6, 12MP front/12MP Back Camera, Touch ID, All-Day Battery Life – Pink",,4.6 out of 5 stars,"9,824 ratings",In Stock
"2018 Apple iPad (WiFi, 128GB) Space Gray (Renewed)",,4.5 out of 5 stars,"2,696 ratings",In Stock
Apple iPad (2018 Model) with Wi-Fi only 32GB Apple 9.7in iPad - Space Gray (Renewed),,4.5 out of 5 stars,"8,532 ratings",In Stock
"Apple iPad Air (5th Generation): with M1 chip, 10.9-inch Liquid Retina Display, 64GB, Wi-Fi 6, 12MP front/12MP Back Camera, Touch ID, All-Day Battery Life – Blue",,4.6 out of 5 stars,"12,899 ratings",In Stock
"Apple iPad Air (5th Generation): with M1 chip, 10.9-inch Liquid Retina Display, 256GB, Wi-Fi 6, 12MP front/12MP Back Camera, Touch ID, All-Day Battery Life – Purple",,4.6 out of 5 stars,"12,899 ratings",In Stock
"2020 Apple iPad (10.2-inch, Wi-Fi, 32GB) - Space Gray (8th Generation) (Renewed)",,4.6 out of 5 stars,"3,481 ratings",In Stock
"2017 Apple iPad (9.7-inch, WiFi + Cellular, 32GB) - Space Gray (Renewed)",,4.5 out of 5 stars,"3,012 ratings",In Stock
"2018 Apple iPad (9.7-inch, Wi-Fi, 32GB) - Gold (Renewed)",,4.5 out of 5 stars,"1,197 ratings",Only 5 left in stock - order soon.
"2021 iPad 10.2 inch iPad 9th 8th 7th Generation/Air 3 Pro 10.5 inch Keyboard Case with Touchpad Cute Round Key Color Keyboard iPad 9 8 7 Detachable Touch Keyboard Cover (iPad10.2/10.5"", Pink)",,3.8 out of 5 stars,"1,010 ratings",In Stock
"2021 Apple iPad 9th Gen (10.2 inch, Wi-Fi + Cellular, 64GB) Space Gray (Renewed)",,4.6 out of 5 stars,"1,769 ratings",In Stock
"Apple iPad 9.7in with WiFi, 32GB 2017 Newest Model- Gold (Gold)(Renewed)",,4.5 out of 5 stars,"1,468 ratings",Only 5 left in stock - order soon.
"Apple iPad with WiFi, 128GB, Gold (2018 Model) (Renewed)",,4.5 out of 5 stars,"1,159 ratings",In Stock
Apple iPad Air 16GB WiFi Tablet - Space Gray (Renewed),,4.5 out of 5 stars,"1,474 ratings",In Stock
"2021 New iPad 10.2 inch iPad 9th 8th 7th Generation Air 3rd Gen Pro 10.5 Keyboard Case Cute Round Key Color Keyboard Wireless Detachable BT Keyboard Cover for iPad 9 8 7 (iPad10.2/10.5"",Blue)",,4.1 out of 5 stars,"1,856 ratings",In Stock
"2017 Apple iPad (9.7-inch, Wi-Fi, 32GB) - Space Gray (Renewed)",,4.5 out of 5 stars,"11,608 ratings",In Stock
"2019 Apple iPad (10.2-inch, Wi-Fi, 32GB) - Space Gray (Renewed Premium)",,4.5 out of 5 stars,127 ratings,In Stock
"Apple iPad (5thGEneration) Wi-Fi, 128GB - Space Gray (Renewed)",,4.5 out of 5 stars,"3,291 ratings",Only 6 left in stock - order soon.
Apple IPad Air 2 WI-FI 64GB Space Gray (Renewed),,4.5 out of 5 stars,"2,833 ratings",Only 18 left in stock - order soon.
"MSTJRY 120W Charging Station for Multiple Devices,USB C Charging Station for Multiple Devices 6 Ports Charging Station with 4 PD USB C Fast Ports,Charging Dock Designed for Apple iPad iPhone Android",,3.6 out of 5 stars,46 ratings,In Stock
