title,price,rating,reviews,availabillity
"Oral-B iO Series 3 Limited Rechargeable Electric Powered Toothbrush, Black with 2 Brush Heads and Travel Case - Visible Pressure Sensor to Protect Gums - 3 Modes - 2 Minute Timer",,3.6 out of 5 stars,"3,814 ratings",In Stock
"Aquasonic Black Series Ultra Whitening Toothbrush – ADA Accepted Power Toothbrush - 8 Brush Heads & Travel Case – 40,000 VPM Electric Motor & Wireless Charging - 4 Modes w Smart Timer",,3.6 out of 5 stars,"108,676 ratings",In Stock
"PHILIPS Sonicare 9000 Special Edition Rechargeable Toothbrush, Pink/White, HX9911/90",,3.6 out of 5 stars,208 ratings,In Stock
"7AM2M Sonic Electric Toothbrush with 6 Brush Heads for Adults and Kids, One Charge for 90 Days, Wireless Fast Charge, 5 Modes with 2 Minutes Built in Smart Timer, Electric Toothbrushes(Pink)",,4.4 out of 5 stars,"19,022 ratings",In Stock
"Oral-B Pro 1000 Rechargeable Electric Toothbrush, White",,3.6 out of 5 stars,"136,577 ratings",In Stock
"Aquasonic Black Series Ultra Whitening Toothbrush – ADA Accepted Power Toothbrush - 8 Brush Heads & Travel Case – 40,000 VPM Electric Motor & Wireless Charging - 4 Modes w Smart Timer",,3.6 out of 5 stars,"108,676 ratings",In Stock
"Philips Sonicare 4100 Power Toothbrush, Rechargeable Electric Toothbrush with Pressure Sensor, White HX3681/23",,3.6 out of 5 stars,"21,287 ratings",In Stock
"Oral-B iO Series 3 Limited Rechargeable Electric Powered Toothbrush, Black with 2 Brush Heads and Travel Case - Visible Pressure Sensor to Protect Gums - 3 Modes - 2 Minute Timer",,3.6 out of 5 stars,"3,814 ratings",In Stock
"Philips Sonicare ExpertClean 7500, Rechargeable Electric Power Toothbrush, Black, HX9690/05",,3.6 out of 5 stars,"10,464 ratings",In Stock
"Aquasonic Black Series Ultra Whitening Toothbrush – ADA Accepted Power Toothbrush - 8 Brush Heads & Travel Case – 40,000 VPM Electric Motor & Wireless Charging - 4 Modes w Smart Timer",,3.6 out of 5 stars,"108,676 ratings",In Stock
"7AM2M Sonic Electric Toothbrush with 6 Brush Heads for Adults and Kids, One Charge for 90 Days, Wireless Fast Charge, 5 Modes with 2 Minutes Built in Smart Timer, Electric Toothbrushes(Pink)",,4.4 out of 5 stars,"19,022 ratings",In Stock
"Philips Sonicare 9900 Prestige Rechargeable Electric Power Toothbrush with SenseIQ, Midnight, HX9990/12",,3.6 out of 5 stars,"1,575 ratings",In Stock
