title,price,rating,reviews,availabillity
"Health Fitness Tracker with 24/7 Heart Rate, Blood Oxygen, Blood Pressure, Sleep and Stress Tracker, 5ATM Waterproof Activity Trackers with Step Tracker, Pedometer (S & L Bands Included)",,4.2 out of 5 stars,"1,313 ratings",In Stock
"Woneligo Smart Watch for Women - 1.8"" Full Touch HD Screen, 24-Hour Heart Rate, Blood Oxygen, Sleep Monitor, Alexa Built-in, IP68 Waterproof, 100 Sports Modes, Unisex",,4.1 out of 5 stars,"5,669 ratings",In Stock
"Fitbit Charge 6 Fitness Tracker with Heart Rate, GPS, Premium Membership, Health Tools - Porcelain/Silver",,4.0 out of 5 stars,"4,771 ratings",In Stock
"Fitbit Inspire 3 Health &-Fitness-Tracker with Stress Management, Workout Intensity, Sleep Tracking, 24/7 Heart Rate and more, Midnight Zen/Black One Size (S & L Bands Included)",,4.1 out of 5 stars,"11,438 ratings",In Stock
"Fitbit Versa 4 Fitness Smartwatch with Daily Readiness, GPS, 24/7 Heart Rate, 40+ Exercise Modes, Sleep Tracking and more, Pink Sand/Copper Rose, One Size (S & L Bands Included)",,4.0 out of 5 stars,"9,745 ratings",
"Fitbit Charge 6 Fitness Tracker with Google apps, Heart Rate on Exercise Equipment, 6-Months Premium Membership Included, GPS, Health Tools and More, Obsidian/Black, One Size (S & L Bands Included)",,4.6 out of 5 stars,"4,771 ratings",In Stock
"Fitbit Versa 4 Fitness Smartwatch with Daily Readiness, GPS, 24/7 Heart Rate, 40+ Exercise Modes, Sleep Tracking and more, Waterfall Blue/Platinum, One Size (S & L Bands Included)",,4.0 out of 5 stars,"9,745 ratings",Available to ship in 1-2 days
"aeac Smart Watches for Men Women, 1.8"" Alexa Built-in Fitness Tracker Watch for Android iPhone, Bluetooth Calls, IP68 Waterproof, 100 Sport Modes, with Heart Rate/Spo2/Sleep Monitor/Pedometer",,4.1 out of 5 stars,"1,476 ratings",In Stock
"Smart Watch for Men(Answer/Make Call),Alexa Built-in,1.8""Fitness Tracker with Heart Rate Sleep SpO2 Monitor,100 Sport Mode,5ATM Waterproof,Activity Trackers and Smartwatches for iOS and Android Phones",,4.1 out of 5 stars,"5,669 ratings",In Stock
"Fitbit Sense 2 Advanced Health and Fitness Smartwatch with Tools to Manage Stress and Sleep, ECG App, SpO2, 24/7 Heart Rate and GPS, Shadow Grey/Graphite, One Size (S & L Bands Included)",,4.2 out of 5 stars,"3,600 ratings",In Stock
"Fitbit Sense 2 Advanced Health and Fitness Smartwatch with Tools to Manage Stress and Sleep, ECG App, SpO2, 24/7 Heart Rate and GPS, Lunar White/Platinum, One Size (S & L Bands Included)",,4.2 out of 5 stars,"1,208 ratings",In Stock
"Hvlgmrc Military Smart Watch for Men 1.96 Inches Outdoor Sports Smartwatch with Answer/Make Call,Fitness Watch,Blood Oxygen,Heart Rate and Sleep Monitor Compatible with iPhone and Android Phones",,3.9 out of 5 stars,886 ratings,In Stock
