title,price,rating,reviews,availabillity
"Lenovo Newest 15.6"" Laptop, 16GB RAM, 1TB SSD Storage, 15.6"" FHD (1920 x 1080) Display, Ethernet Port, HDMI, USB-C, WiFi & Bluetooth, Intel Dual-core Processor, Windows 11 Home",,4.4 out of 5 stars,158 ratings,In Stock
"Lenovo IdeaPad 1 Laptop, 15.6"" FHD Display, AMD Ryzen 5 5500U Processor, 40GB RAM, 2TB SSD, Numeric Keypad, SD Card Reader, HDMI, Webcam, Wi-Fi, Windows 11 Home, Grey",,4.4 out of 5 stars,6 ratings,In Stock
"LENOVO IdeaPad 3i Laptop, 15.6"" HD Touchscreen Display, Intel Core i3-1115G4 Processor, 12GB DDR4 RAM, 256GB PCIe SSD, Bluetooth, Webcam, Wi-Fi 6, HDMI, Windows 11 Home, Grey",,4.4 out of 5 stars,430 ratings,Only 10 left in stock - order soon.
"Lenovo IdeaPad 1 15.6"" FHD Laptop Newest, Intel Pentium Silver N6000, 12GB RAM, 256GB PCIe SSD+128GB eMMC, 1 Year Microsoft Office 365, Webcam, Type-C, SD Card Reader, Wi-Fi 6, Windows 11",,4.6 out of 5 stars,139 ratings,Only 10 left in stock - order soon.
"Lenovo IdeaPad 3 Laptop, 15.6"" FHD Touchscreen, Intel Core i5-1155G7, 24GB RAM, 1TB SSD, Webcam, HDMI, Wi-Fi 6, Windows 11 Home, Blue",,4.4 out of 5 stars,71 ratings,In Stock
"Lenovo - 2022 - IdeaPad 3i - Essential Laptop Computer - Intel Core i5 12th Gen - 15.6"" FHD Display - 8GB Memory - 512GB Storage - Windows 11 Pro",,4.4 out of 5 stars,575 ratings,Only 5 left in stock - order soon.
"Lenovo IdeaPad Gaming 3 - (2022) - Essential Gaming Laptop Computer - 15.6"" FHD - 120Hz - AMD Ryzen 5 6600H - NVIDIA GeForce RTX 3050 - 8GB DDR5 RAM - 256GB NVMe Storage - Windows 11 Home",,4.5 out of 5 stars,"1,329 ratings",Only 1 left in stock - order soon.
"Lenovo - 2022 - IdeaPad 3 - Travel Laptop Computer - AMD Ryzen 5 - 17.3"" FHD Display - 8GB Memory - 512GB Storage - Windows 11 Home",,4.5 out of 5 stars,228 ratings,In Stock
"Lenovo Flex 5 Laptop, 14.0"" FHD Touch Display, AMD Ryzen 5 5500U, 16GB RAM, 512GB Storage, AMD Radeon Graphics, Windows 11 Home, Storm Grey",,4.5 out of 5 stars,419 ratings,In Stock
"Lenovo IdeaPad Gaming 3i - 2022 - Everyday Gaming Laptop - NVIDIA GeForce RTX 3050Ti Graphics - 15.6"" FHD Display - 8GB Memory - 512GB Storage - Intel i7 12th Gen - Onyx Grey",,4.4 out of 5 stars,201 ratings,In Stock
"Lenovo - 2022 - IdeaPad 3i - Everyday Laptop Computer - Intel Core i5 12th Gen - 14.0"" FHD Display - 8GB Memory - 256GB Storage - Windows 11 Home",,4.5 out of 5 stars,242 ratings,Only 1 left in stock - order soon.
"Lenovo - 2022 - IdeaPad 1i - Browse Laptop Computer - Intel Core i3 - 14.0"" HD Display - 4GB Memory - 128GB Storage - Windows 11 in S Mode",,4.6 out of 5 stars,184 ratings,Only 6 left in stock - order soon.
"LENOVO IdeaPad 1 Laptop, 15.6” FHD Display, Intel Celeron N4500 Processor, 12GB RAM, 512GB SSD, SD Card Reader, Numeric Keypad, HDMI, Wi-Fi 6, Windows 11 Home, 1 Year Office 365, Grey",,4.5 out of 5 stars,111 ratings,In Stock
"Lenovo IdeaPad 1 Student Laptop, Intel Dual Core Processor, 20GB RAM, 1TB SSD + 128GB eMMC, 15.6"" FHD Display, 1 Year Office 365, Windows 11 Home, Wi-Fi 6, Webcam, Bluetooth, SD Card Reader, Grey",,4.4 out of 5 stars,338 ratings,In Stock
"Lenovo V15 Laptop, 15.6"" FHD Display, AMD Ryzen 5 5500U Hexa-core Processor (Beat Intel i7-1065G7), 16GB RAM, 1TB SSD, HDMI, RJ45, Numeric Keypad, Wi-Fi, Windows 11 Pro, Black",,4.4 out of 5 stars,234 ratings,In Stock
