title,price,rating,reviews,availabillity
"Apple 2022 MacBook Air Laptop with M2 chip: 13.6-inch Liquid Retina Display, 8GB RAM, 256GB SSD Storage, Backlit Keyboard, 1080p FaceTime HD Camera. Works with iPhone and iPad; Silver",,4.4 out of 5 stars,"2,454 ratings",In Stock
"Apple 2024 MacBook Air 13-inch Laptop with M3 chip: 13.6-inch Liquid Retina Display, 8GB Unified Memory, 256GB SSD Storage, Backlit Keyboard, 1080p FaceTime HD Camera, Touch ID; Space Gray",,4.4 out of 5 stars,71 ratings,In Stock
"Apple 2024 MacBook Air 13-inch Laptop with M3 chip: 13.6-inch Liquid Retina Display, 8GB Unified Memory, 256GB SSD Storage, Backlit Keyboard, 1080p FaceTime HD Camera, Touch ID; Space Gray",,4.4 out of 5 stars,71 ratings,In Stock
"Apple MacBook Air (13-inch Retina display, 1.6GHz dual-core Intel Core i5, 128GB) - Gold (Renewed)",,4.4 out of 5 stars,"2,376 ratings",Only 2 left in stock - order soon.
"2017 Apple Macbook Air with 1.8GHz Intel Core i5 (13-inch, 8GB RAM, 128GB SSD Storage) (QWERTY English) Silver (Renewed)",,4.5 out of 5 stars,513 ratings,In Stock
"Apple 2022 MacBook Air Laptop with M2 chip: 13.6-inch Liquid Retina Display, 8GB RAM, 256GB SSD Storage, Backlit Keyboard, 1080p FaceTime HD Camera. Works with iPhone and iPad; Starlight",,4.4 out of 5 stars,"2,454 ratings",In Stock
"Apple 2023 MacBook Pro Laptop M3 Pro chip with 12‑core CPU, 18‑core GPU: 16.2-inch Liquid Retina XDR Display, 18GB Unified Memory, 512GB SSD Storage. Works with iPhone/iPad; Space Black",,4.6 out of 5 stars,146 ratings,In Stock
"Apple 2023 MacBook Pro Laptop M3 chip with 8‑core CPU, 10‑core GPU: 14.2-inch Liquid Retina XDR Display, 8GB Unified Memory, 512GB SSD Storage. Works with iPhone/iPad; Space Gray",,4.6 out of 5 stars,194 ratings,In Stock
"Apple 2023 MacBook Pro Laptop M3 Pro chip with 11‑core CPU, 14‑core GPU: 14.2-inch Liquid Retina XDR Display, 18GB Unified Memory, 512GB SSD Storage. Works with iPhone/iPad; Space Black",,4.7 out of 5 stars,239 ratings,In Stock
"Apple 2023 MacBook Air Laptop with M2 chip: 15.3-inch Liquid Retina Display, 8GB Unified Memory, 256GB SSD Storage, 1080p FaceTime HD Camera, Touch ID. Works with iPhone/iPad; Space Gray",,4.2 out of 5 stars,"1,989 ratings",Only 1 left in stock - order soon.
"Apple MacBook Pro With Touch Bar Intel Core i5, 13-inch, 8GB RAM, 256GB Storage Space Gray (Renewed)",,4.4 out of 5 stars,"1,347 ratings",Only 1 left in stock - order soon.
"Apple 2023 iMac All-in-One Desktop Computer with M3 chip: 8-core CPU, 8-core GPU, 24-inch Retina Display, 8GB Unified Memory, 256GB SSD Storage, Matching Accessories. Works with iPhone/iPad; Blue",,4.6 out of 5 stars,143 ratings,In Stock
"Apple 2024 MacBook Air 15-inch Laptop with M3 chip: 15.3-inch Liquid Retina Display, 8GB Unified Memory, 256GB SSD Storage, Backlit Keyboard, 1080p FaceTime HD Camera, Touch ID; Silver",,4.4 out of 5 stars,61 ratings,In Stock
