title,price,rating,reviews,availabillity
"AULA F75 75% Wireless Mechanical Keyboard,Gasket Hot Swappable Custom Keyboard,Pre-lubed Reaper Switches RGB Backlit Gaming Keyboard,2.4GHz/Type-C/Bluetooth Mechanical Keyboard (White Blue)",,4.4 out of 5 stars,58 ratings,In Stock
"AULA F99 Wireless Mechanical Keyboard,Tri-Mode Bluetooth 5.0/2.4GHz/USB-C Hot Swappable Custom Keyboard,Pre-lubed Linear Switches,Gasket Structure,RGB Backlit Gaming Keyboard for PC/Tablet/PS/Xbox",,4.7 out of 5 stars,130 ratings,In Stock
"MageGee Portable 60% Mechanical Gaming Keyboard, MK-Box LED Backlit Compact 68 Keys Mini Wired Office Keyboard with Red Switch for Windows Laptop PC Mac - Black/Grey",,4.4 out of 5 stars,"6,772 ratings",In Stock
"RisoPhy Mechanical Gaming Keyboard, RGB 104 Keys Ultra-Slim LED Backlit USB Wired Keyboard with Blue Switch, Durable Abs Keycaps/Anti-Ghosting/Spill-Resistant Computer Keyboard for PC Mac Xbox Gamer",,4.5 out of 5 stars,"1,926 ratings",In Stock
"Logitech K845 Mechanical Illuminated Keyboard, Strong Adjustable Tilt Legs, Full Size, Aluminum Top Case, 104 Keys, USB Corded, Windows (TTC Brown Switches)",,4.5 out of 5 stars,"3,430 ratings",In Stock
"AULA F75 75% Wireless Mechanical Keyboard,Gasket Hot Swappable Custom Keyboard,Pre-lubed Reaper Switches RGB Backlit Gaming Keyboard,2.4GHz/Type-C/Bluetooth Mechanical Keyboard (White Blue)",,4.4 out of 5 stars,58 ratings,In Stock
"AULA F99 Wireless Mechanical Keyboard,Tri-Mode Bluetooth 5.0/2.4GHz/USB-C Hot Swappable Custom Keyboard,Pre-lubed Linear Switches,Gasket Structure,RGB Backlit Gaming Keyboard for PC/Tablet/PS/Xbox",,4.7 out of 5 stars,130 ratings,In Stock
"KEMOVE K98SE Mechanical Gaming Keyboard, 98 Keys LED Backlit Programmable Keyboard, 96% Wired Computer Keyboard with Double Sound Dampening Foam, Pre-lubed Red Switch",,4.7 out of 5 stars,44 ratings,In Stock
"AULA F87 Wireless Mechanical Keyboard,75% TKL Gasket Custom Hot Swappable Keyboard,2.4Ghz/Type-C/Bluetooth Gaming Keyboard,Pre-lubed Greywood Switch RGB Backlit Keyboard for WINS/PC/Mac (White & Blue)",,4.4 out of 5 stars,37 ratings,In Stock
"HyperX Alloy Origins Core - Tenkeyless Mechanical Gaming Keyboard, Software Controlled Light & Macro Customization, Compact Form Factor, RGB LED Backlit, Tactile HyperX Aqua Switch,Black",,4.4 out of 5 stars,"12,507 ratings",In Stock
