title,price,rating,reviews,availabillity
"Portable Charger 38800mAh,LCD Display Power Bank,4 USB Outputs Battery Pack Backup, USB-C in&out Dual Input Phone Charging Compatible with iPhone 15/14/13 Pro Max/12,Android Samsung Galaxy Pixel Nexus",,4.3 out of 5 stars,"13,712 ratings",In Stock
"VEEKTOMX Mini Power Bank 10000mAh, 22.5W Fast Charging Small Portable Charger with PD 3.0 & QC 3.0,USB C Slim Lightweight iPhone Charger, Dual Output Compatible with iPhone, Samsung,Travel Must Haves",,4.5 out of 5 stars,"1,337 ratings",In Stock
"INIU Portable Charger, Slimmest 10000mAh 5V/3A Power Bank, USB C in&Out High-Speed Charging Battery Pack, External Phone Powerbank Compatible with iPhone 15 14 13 12 X Samsung S22 S21 Google iPad etc",,4.6 out of 5 stars,"100,510 ratings",In Stock
"Portable Charger with Built in Cables, Portable Charger with Cords Wires Slim 10000mAh Travel Battery Pack 6 Outputs 3 Inputs 3A Fast Charging Power Bank for Samsung Google Pixel LG Moto iPhone iPad",,4.5 out of 5 stars,"19,814 ratings",In Stock
"Miady 2-Pack 10000mAh Dual USB Portable Charger, USB-C Fast Charging Power Bank, Backup Charger for iPhone 15/14/13, Galaxy S23/22, Pixel and etc",,4.5 out of 5 stars,"98,585 ratings",In Stock
"VEEKTOMX Portable Charger with Built in Cables 22.5W 10000mAh, Power Bank for iPhone with AC Wall Plug, Fast Charging USB C Slim Battery Pack with LED Display Compatible with iPhone15/14/13, Samsung",,4.3 out of 5 stars,614 ratings,In Stock
"Metecsmart Portable Charger Power Bank with Built in Cable and AC Wall Plug, 10000mAh Fast USB C Phone Charger, Slim Thin Mini Charging Battery Pack Compatible with Smartphones and All USB-C Devices",,4.5 out of 5 stars,586 ratings,In Stock
"Charmast Portable Charger with Built-in Cables and AC Wall Plug, 10000mAh Ultra Slim Power Bank, External Battery Pack, Travel Accessories Compatible with iPhone 14/13, Samsung Galaxy, etc",,4.5 out of 5 stars,"1,156 ratings",In Stock
"XGQ Portable Phone Charger iPhone 2 Packs 5000mAh, with Built-in MFi Certified Lightning Connector & Stand & LCD Display & LED Light, Mini Power Bank Compatible with iPhone 14/13/12/11ProMax Series",,4.7 out of 5 stars,115 ratings,In Stock
"podoru Wireless Portable Charger, 10000mAh Magnetic Power Bank Built-in USB C Lighting Cables 22.5W PD Fast Charging LED Display Mag-Safe Battery Pack for iPhone 15/14/13/12/Mini/Pro/Pro Max - Black",,3.6 out of 5 stars,"1,399 ratings",In Stock
"Charmast Small Portable Charger 5000mAh, Ultra-Compact 20W PD Fast Charging Power Bank Mini Battery Pack Compatible with iPhone 14/14 Pro Max/13/13 Pro Max/12/12 Pro Max/11/XR/X/8/7/6, and More",,4.3 out of 5 stars,"5,087 ratings",In Stock
Power-Bank-Portable-Charger - 16000mAh Power Bank Support PD 30W and QC4.0 Fast Charger with Built-in 2 Output Cable and LED Display for iPhone and Android Phones and Most Electronic Devices,,4.4 out of 5 stars,"1,289 ratings",In Stock
"Anker Portable Charger, Power Bank, 10,000 mAh Battery Pack with PowerIQ Charging Technology and USB-C (Input Only) for iPhone 15/15 Plus/15 Pro/15 Pro Max, iPhone 14/13 Series, Samsung Galaxy",,4.5 out of 5 stars,"101,399 ratings",In Stock
"LENUTO Portable Charger for iPhone 15 Power Bank, 6000mAh USB-C Portable Phone Charger with Fast Charging (20W), Mini Battery Pack for iPhone 15 Pro/15 Plus/15 Promax/Samsung/Huawei Andriod - White",,4.9 out of 5 stars,121 ratings,In Stock
Portable-Charger-Power-Bank - 40000mAh Power Bank PD 30W and QC 4.0 Quick Charging Built-in Bright Flashlight LED Display 2 USB 1Type-C Output for Most Electronic Devices on The Market(Carbon Black),,4.3 out of 5 stars,"4,966 ratings",In Stock
"JEJILL Portable Charger for iPhone, 6000mAh Small Power Bank Fast Charging (20W), Mini Cute Portable Phone Charger Battery Pack for iPhone 14/14 Pro Max/14 Plus/13/12/11/X/8 - White",,4.3 out of 5 stars,"4,643 ratings",In Stock
"Portable Charger, Power Bank, 16000mAh Power Bank Built-in AC Wall Plug and Cables, PD 30W and QC4.0 Fast Charger for iPhone and Android Phones and Most Electronic Devices (Black)",,4.1 out of 5 stars,391 ratings,In Stock
"VRURC Portable Charger 10000mAh, Slim LED Display Power Bank, 5 Output 2 Input Cell Phone Battery Pack, Built-in Micro & USB C Cables Phone Charger Compatible with iPhone,Samsung,Android-Pink(1 Pack)",,4.5 out of 5 stars,"3,124 ratings",In Stock
"VEGER Portable Charger for iPhone Built in Cables and Wall Plug, 10000mah Slim Fast Charging USB C Power Bank, Travel Essential Battery Pack Compatible with iPhones, iPad, Samsung, and More(White)",,4.4 out of 5 stars,"4,353 ratings",In Stock
"Yihoy Mini Portable Charger for iPhone with Built in Cable, 4,800mAh Small Power Bank Fast Charging, Compatible with 14/14 Pro Max/13/13 Pro Max/12/12 Pro Max/11/XR/X/8/7/6 Series White",,4.5 out of 5 stars,35 ratings,Only 7 left in stock - order soon.
